"longitude","latitude","Sparse.Herbaceous.PLAND","Open.Forests.PLAND","Barren.PLAND","Urban.PLAND","Herbaceous.Croplands.PLAND","Sparse.Forests.PLAND","Evergreen.Needleleaf.Forests.PLAND","Dense.Herbaceous.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Herbaceous.Wetlands.PLAND","Sparse.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Deciduous.Broadleaf.Forests.PLAND","Dense.Shrublands.PLAND"
-111.0089474,50.07224082,1.578024547,0,0,0.701344243,24.4301578,0,0,98.42197545,0,0,0,0,0,0
-110.6353135,50.07224082,2.497027348,0,0,4.429250892,6.480380499,0.208085612,0,97.29488704,0,0,0,0,0,0
-110.2616796,50.07224082,0.672121566,0,0.175336061,0,1.490356517,0,0,99.15254237,0,0,0,0,0,0
-109.8880457,50.07224082,5.023781213,0,1.010701546,0,2.140309156,0,0,93.96551724,0,0,0,0,0,0
-109.5144118,50.07224082,1.456599287,0,0.237812128,0,4.785969084,0,0,98.30558859,0,0,0,0,0,0
-109.1407779,50.07224082,3.478002378,0,0.772889417,0,14.41736029,0,0,93.16290131,0,0.832342449,0,0,0,0
-120.8673275,49.83243446,0,49.79191439,0,0,0,0.267538644,45.09512485,4.845422117,0,0,0,0,0,0
-116.4059916,49.83243446,17.56837099,28.59690844,4.399524376,0,0,13.1391201,20.60047562,15.30915577,0.267538644,0.029726516,0,0,0.089179548,0
-116.0342136,49.83243446,7.966706302,47.97859691,2.11058264,0,0,12.18787158,15.13079667,14.59571938,0,0.029726516,0,0,0,0
-115.6624356,49.83243446,5.172413793,54.36979786,0.564803805,0.118906064,0,8.977407848,21.81926278,8.977407848,0.118906064,0,0,0,0,0
-115.2906576,49.83243446,8.20451843,40.96313912,0.683709869,0.416171225,0,12.12841855,27.4078478,10.43400713,0.118906064,0.029726516,0,0,0.059453032,0
-114.9188797,49.83243446,8.323424495,39.4470868,4.191438763,0.208085612,0,5.915576694,21.64090369,20.3626635,0.089179548,0.14863258,0,0,0,0
-114.5471017,49.83243446,6.107539451,33.48918761,1.081239041,0,0.263004091,2.308591467,36.06078317,20.57276447,0.379894798,0.204558738,0,0,0,0
-114.1753237,49.83243446,0.178359096,27.05112961,0,0,0.326991677,0.624256837,13.91200951,57.84780024,0.386444709,0.029726516,0,0,0,0
-113.8035457,49.83243446,0.64289889,8.85447107,0.08766803,0.496785506,5.610753945,0.175336061,9.117475161,78.75511397,1.957919345,0,0,0,0.409117475,0
-113.4317677,49.83243446,0,0,0,0,66.2901308,0,0,100,0,0,0,0,0,0
-113.0599897,49.83243446,0.584453536,0,0,1.373465809,88.57393337,0,0,99.41554646,0,0,0,0,0,0
-112.6882117,49.83243446,0.356718193,0,0.14863258,0.653983353,95.24375743,0,0,98.156956,0,0.178359096,0,0,0,0
-112.3164337,49.83243446,0.802615933,0,0,0.891795482,76.36741974,0,0,99.13793103,0,0.386444709,0,0,0,0
-111.9446558,49.83243446,0.267538644,0,0,0,81.80737218,0,0,99.73246136,0,0.089179548,0,0,0,0
-111.5728778,49.83243446,0.505350773,0,0,0,72.11652794,0,0,99.49464923,0,0.297265161,0,0,0,0
-111.2010998,49.83243446,1.110461718,0,0.058445354,0.116890707,66.89070719,0,0,98.56808884,0,0.526008182,0,0,0,0
-110.8293218,49.83243446,0.208085612,0,0,0,72.62187872,0,0,99.79191439,0,0.208085612,0,0,0,0
-110.4575438,49.83243446,0,0,0,0,75.6867329,0,0,100,0,0,0,0,0,0
-110.0857658,49.83243446,0,0,0,0,57.16409037,0,0,100,0,0,0,0,0,0
-109.7139878,49.83243446,0.321449445,0.175336061,0,0,37.05435418,0,0,99.50321449,0,0.058445354,0,0,0,0
-109.3422099,49.83243446,0.237812128,4.221165279,0.089179548,0.14863258,35.46373365,0,0,94.17360285,0,0.059453032,0,0,1.27824019,0
-108.9704319,49.83243446,0.445897741,0.089179548,0,0,68.04399524,0,0,99.46492271,0,0,0,0,0,0
