"longitude","latitude","Dense.Herbaceous.PLAND","Sparse.Forests.PLAND","Sparse.Shrublands.PLAND","Evergreen.Needleleaf.Forests.PLAND","Herbaceous.Wetlands.PLAND","Open.Forests.PLAND","Herbaceous.Croplands.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Barren.PLAND","Shrubland.Grassland.Mosaics.PLAND","Urban.PLAND"
-117.2035876,47.19456448,93.63852556,0.237812128,0,3.983353151,0.178359096,2.051129608,86.117717,0.089179548,0,0,0,0,0
-114.7332179,47.19456448,4.548156956,2.021403092,0,43.63852556,0,49.79191439,0,0,0,0,0,0,0.356718193
-114.0273979,47.19456448,45.42211653,5.618311534,0,16.97384067,0,31.45065398,0.297265161,0,0.535077289,0,0,0,0
-113.6744879,47.19456448,29.36979786,8.05588585,0,6.450653983,0.297265161,51.4863258,0.445897741,0,3.24019025,0,0.862068966,0,0.029726516
-113.321578,47.19456448,20.51129608,7.75862069,0,3.002378121,0.059453032,64.41736029,0,0,4.280618312,0,0,0,0
-112.968668,47.19456448,46.61117717,14.89298454,0,3.596908442,0,30.67776457,0,0,4.102259215,0,0.118906064,0,0
-112.2628481,47.19456448,81.95600476,10.58263971,0,0.059453032,0,6.92627824,0,0.029726516,0.445897741,0,0,0,0.059453032
-111.9099381,47.19456448,76.32963179,18.23495032,0,0.321449445,1.227352425,5.055523086,3.00993571,0,0.058445354,0,0,0,0.204558738
-111.5570281,47.19456448,94.67895363,0.089179548,0,0.059453032,0,5.172413793,31.21284185,0,0,0,0,0,0.059453032
-111.2041182,47.19456448,76.56341321,0.496785506,0,3.682057276,0.321449445,19.25774401,31.82349503,0,0,0,0,0,0
-110.8512082,47.19456448,87.51486326,1.248513674,0,2.348394768,0.505350773,8.263971463,64.56599287,0,0.624256837,0,0,0,0.059453032
-110.4982982,47.19456448,99.52437574,0,0,0.089179548,0.089179548,0.386444709,39.23900119,0,0,0,0,0,0
-110.1453883,47.19456448,100,0,0,0,0,0,14.80380499,0,0,0,0,0,0
