"longitude","latitude","Dense.Herbaceous.PLAND","Sparse.Forests.PLAND","Sparse.Shrublands.PLAND","Evergreen.Needleleaf.Forests.PLAND","Herbaceous.Wetlands.PLAND","Open.Forests.PLAND","Herbaceous.Croplands.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Barren.PLAND","Shrubland.Grassland.Mosaics.PLAND","Urban.PLAND"
-118.4660078,47.91398357,-0.000482967071647819,0.000917478781978152,0,2.88011307375e-05,-0.000222952613173913,-0.000172502680005565,-6.56837497485956e-05,0,5.43925632881063e-09,0,-4.76344745382979e-10,0,1.87314056238654e-09
-118.1082192,47.91398357,2.13121615318279e-06,-2.39764810814369e-05,0,5.75503587585245e-05,-2.53527606310865e-05,1.8314540041726e-05,-7.27041287700018e-06,0,6.30588297265485e-10,0,-1.68374597084171e-11,0,2.07984010161107e-10
-112.7413909,47.91398357,-2.55423926650755e-05,1.67540816309442e-05,0,-1.89211426341973e-05,-1.75815011659799e-05,-3.38547721757151e-06,0,0,4.86533794663781e-10,0,0,0,0
-112.3836023,47.91398357,3.84011391258278e-05,-0.000158190353320731,0,-7.76465951940559e-05,4.42540857413701e-05,-3.44027492150338e-05,1.23013405086195e-05,0,8.6605698278655e-10,0,-2.23385557306568e-11,0,3.11969878206646e-10
-108.8057168,47.91398357,0.000101572666091253,0.000410684766852076,0,-0.000436541965734149,0.000252231270194913,-0.000204443621197298,-5.83978295289777e-05,0,4.78566299772471e-09,0,0,0,1.75603445943755e-09
-108.4479282,47.91398357,-0.00014615304658559,-0.00432082378494293,0,0.00249360955122244,6.81029298971997e-05,-0.000996239949495396,-0.000286943804494803,0.00010442991129306,2.4233300576692e-08,0,0,0,0
-108.0901397,47.91398357,0.00169655285155048,0,0,0,0.00152055247986352,0,0,0,3.00394756472838e-08,0,-7.56132489767294e-10,0,0
-107.7323511,47.91398357,0.000904602104457841,0,0,0,0,0,0,0,1.76295651119341e-08,0,-4.88944855762404e-10,0,0
-107.3745626,47.91398357,0.000306406235830007,0,0,0,0,0,0,0,5.53637713963302e-09,0,0,0,0
-120.4135444,47.67417721,-0.00323176491701202,0.00288503970739414,0,0.0038411640267423,-0.000606761660005182,-0.000568736532826191,-0.000408935475270496,-0.000713801207841942,3.43894951972431e-08,0,-9.21899416382242e-10,0,1.22510183466781e-08
-120.0574032,47.67417721,0.0404437389561429,-0.149246597252604,0,-0.0704816033006451,0.0115221742018275,-0.0313498798053946,0.0123485206603846,0,7.44249970434693e-07,0,-1.91176137918115e-08,0,2.54151421803879e-07
-119.701262,47.67417721,0.100853236139539,-0.261835269802679,0,0,0.0927673418406079,0,0.00200070914839905,0,1.80754597342384e-06,0,-4.94881631865872e-08,0,5.96313015876213e-07
-119.3451208,47.67417721,0.0924924139326904,-0.261835269802679,0,0,-0.0120376083702264,0,0.00797916511339363,0,1.77959488475133e-06,0,-5.64411837362868e-08,0,6.28491418847138e-07
-118.9889796,47.67417721,0.0449031320701653,0,0,0,-0.000724201290941527,0,0.0277283750378132,0,8.18598625035988e-07,0,-2.61089693208244e-08,0,0
