"longitude","latitude","abd_ppy"
-118.2588165,46.23533904,-1.093373969603
-117.2187403,46.23533904,1.0680546459324
-114.4452037,46.23533904,-1.71809654411007
-114.0985116,46.23533904,-3.07582398459717
-113.7518195,46.23533904,-1.00764600377585
-113.4051274,46.23533904,-2.09271907188133
-113.0584353,46.23533904,-3.70316734118337
-112.7117433,46.23533904,-2.44516787530353
-112.3650512,46.23533904,-1.74786460871263
-112.0183591,46.23533904,-4
-111.671667,46.23533904,-3.27222028246367
-111.3249749,46.23533904,-3.7202397954985
-110.9782829,46.23533904,-0.358611378517963
-110.6315908,46.23533904,-2.56908209412548
-110.2848987,46.23533904,-2.08795873526938
-109.9382066,46.23533904,-3.74548746762522
-109.5915146,46.23533904,-3.0411656528131
-109.2448225,46.23533904,-3.64946729426478
-108.8981304,46.23533904,-4
-108.5514383,46.23533904,-4
-108.2047462,46.23533904,-4
-107.8580542,46.23533904,-4
-107.5113621,46.23533904,-4
-107.16467,46.23533904,-4
-106.8179779,46.23533904,-4
-106.4712858,46.23533904,-4
-106.1245938,46.23533904,-4
-105.7779017,46.23533904,-4
-120.8519944,45.99553268,-2.48929457948833
-120.5068077,45.99553268,-4
-120.1616211,45.99553268,-4
-119.8164344,45.99553268,-4
-119.4712477,45.99553268,-4
-119.126061,45.99553268,-4
-118.7808744,45.99553268,-4
-118.4356877,45.99553268,-2.64642883323741
-117.4001277,45.99553268,-1.89577868863369
-114.2934476,45.99553268,-1.28050334877987
-113.9482609,45.99553268,-0.754832997124299
-113.6030742,45.99553268,-1.18105280399562
-113.2578875,45.99553268,-2.22546579828311
-112.9127009,45.99553268,-1.10582504196172
-112.5675142,45.99553268,-4
-112.2223275,45.99553268,-2.68276240324518
-111.8771408,45.99553268,-2.66814338082886
-111.5319542,45.99553268,-4
-111.1867675,45.99553268,-1.48056511478067
-110.8415808,45.99553268,-0.419692709666883
-110.4963941,45.99553268,-2.08577028818805
-110.1512075,45.99553268,-2.7142579753364
-109.8060208,45.99553268,-3.88571454339215
-109.4608341,45.99553268,-1.49775831668617
-109.1156474,45.99553268,-3.03005786802525
-108.7704608,45.99553268,-4
-108.4252741,45.99553268,-4
-108.0800874,45.99553268,-4
-107.7349007,45.99553268,-4
-107.389714,45.99553268,-4
-107.0445274,45.99553268,-4
-106.6993407,45.99553268,-4
-106.354154,45.99553268,-4
-106.0089673,45.99553268,-4
-105.6637807,45.99553268,-4
-105.318594,45.99553268,-4
-121.0190003,45.75572631,-4
-120.6753,45.75572631,-4
-120.3315997,45.75572631,-4
-119.9878995,45.75572631,-4
-119.6441992,45.75572631,-2.95244813810794
-119.3004989,45.75572631,-2.16949640488778
-118.9567986,45.75572631,2.53221185781089
-117.5819975,45.75572631,-0.540510320522742
-117.2382972,45.75572631,-2.51856025909683
-113.8012943,45.75572631,-0.525230976369898
-113.457594,45.75572631,-0.447167512431779
-113.1138938,45.75572631,-0.509683200256479
-112.7701935,45.75572631,-4
-112.4264932,45.75572631,-2.5049448414715
