"longitude","latitude","Herbaceous.Croplands.PLAND","Sparse.Shrublands.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Shrubland.Grassland.Mosaics.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Barren.PLAND","Urban.PLAND","Herbaceous.Wetlands.PLAND","Evergreen.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND"
-120.5419291,46.95475812,-0.0403815805391389,0,0.00937093956917858,0.0107083585367621,0,-0.00209414501961547,-0.000487350705572246,0,3.00250550370329e-07,0,-1.86866993668047e-08,0
-120.1906036,46.95475812,-0.127844368521096,0,0.0514616326998615,0.0490649515547718,0,0,-0.00320828157528906,1.10052416376857e-05,-5.93397414056196e-07,1.69676810766284e-06,0,0
-119.8392782,46.95475812,-0.0568033163858031,0,0.017876057007482,0.0169320915860726,0,0,-0.00107114294228784,2.67173604406392e-06,-3.42332738336995e-07,6.50258310637911e-07,0,0
-119.4879528,46.95475812,-0.00150530081628364,0,0.00056798551550832,0.000525118401524912,0,0,-3.30330414026214e-05,0,-1.91140542566035e-08,0,0,0
-119.1366274,46.95475812,-0.000393371771643138,0,0.000126206448444956,0.000130985948398624,0,0,-8.40268284407148e-06,3.04547511744653e-08,-3.89028776306947e-09,-4.55437380325081e-09,0,0
-118.4339765,46.95475812,-0.000716308684138266,0,0.000211733652761532,0.000195745308131515,0,0,0,0,-8.8499007750987e-09,0,0,0
-118.0826511,46.95475812,-0.000646692055673288,0,0.000183244663308727,0,0,0,0,0,-8.2229703437635e-09,0,0,0
-117.7313257,46.95475812,-0.00012381436957652,0,4.82287630525913e-05,0,0,0,0,0,-2.14285020487892e-09,0,0,0
-121.0544973,46.71495176,0.00253931115094029,0,0.00030177058253597,0.000982062842277052,0,0.000796475475356555,8.75015429086455e-06,2.61064341509569e-07,-3.85514942040632e-08,-7.89783438812236e-09,-2.50282688684152e-09,0
-120.7047362,46.71495176,-0.0023833917946587,0,0.000840281053295552,0.00155099533557963,0,6.43495750108612e-05,-1.25938444361121e-05,4.11548181134697e-07,2.93561040810987e-07,1.06471436044362e-07,-1.75270082105796e-08,0
-120.354975,46.71495176,0.105034255036728,0,0.0425675002814951,0.0393540221346237,0,0,-0.00247618391606134,0,-4.58052038384061e-07,0,0,0
-120.0052139,46.71495176,-0.0501417873863868,0,0.0483249616865249,0.0462630933604349,0,0,-0.00293844269020025,9.41893785652692e-06,-1.39126581329896e-06,-7.20464641464159e-07,0,0
-119.6554528,46.71495176,-0.0711935622719247,0,0.027587392468895,0.0258738624770571,0,0,0,5.02992289298948e-06,-6.67340533836212e-07,1.24620973224326e-06,0,0
-119.3056916,46.71495176,-0.164212180942052,0,0.0482524514564697,0.0445986807289248,0,0,0,1.16495415328989e-05,-1.92889282955792e-06,0,0,0
-118.6061693,46.71495176,-0.00886184218725085,0,0.00252540797327829,0.00233773443536954,0,0,-0.000147215194669675,5.94330850329412e-07,-9.9743617408869e-08,1.54862261976058e-07,0,0
-118.2564082,46.71495176,-0.00480019494046614,0,0.00137604900711092,0.00127278761582567,0,0,0,3.28006143281502e-07,-6.13914924198001e-08,7.84939581673431e-08,0,0
-117.9066471,46.71495176,-0.000580059897973382,0,0.000168539019160557,0.000155933449454912,0,0,0,4.00597615198867e-08,-7.59923803654142e-09,5.3717045421259e-09,0,0
