"longitude","latitude","Herbaceous.Croplands.PLAND","Sparse.Shrublands.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Shrubland.Grassland.Mosaics.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Barren.PLAND","Urban.PLAND","Herbaceous.Wetlands.PLAND","Evergreen.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND"
-120.6753,45.75572631,25.96954898,0,91.98506176,1.809824763,0,0.488365412,0.287273772,0.91927607,1.924734272,0.373455903,0.057454754,0
-120.3315997,45.75572631,3.185271771,0,96.17182934,0.701344243,0,0,0.116890707,0.64289889,0.789012274,0.292226768,0,0
-119.9878995,45.75572631,25.1899474,0,94.38924605,1.227352425,0,0,0,0.935125658,0.935125658,0.204558738,0,0
-119.6441992,45.75572631,50.23378141,0,93.10344828,1.373465809,0,0,0.204558738,0.321449445,2.27936879,0.613676213,0,0
-119.3004989,45.75572631,55.99064874,0,96.14260666,1.519579193,0,0,0.467562829,0.175336061,7.071887785,0.08766803,0,0
-113.8012943,45.75572631,0,0,57.65634132,0,0,34.07364115,7.627118644,0,0,0,0.64289889,0
-113.457594,45.75572631,0,0,49.70777323,0.73056692,0,40.41496201,5.669199299,0,0,0.029222677,3.477498539,0
-113.1138938,45.75572631,0,0,38.13559322,3.156049094,0,44.47691409,3.506721216,0,0,0.058445354,10.69549971,0
-112.7701935,45.75572631,0.146113384,0,66.48158971,4.324956166,0,25.07305669,3.6528346,0,0,0,0.467562829,0
-112.4264932,45.75572631,0.993571011,0,60.54938632,5.230859147,0,28.37521917,5.376972531,0.263004091,0,0.584453536,0.204558738,0
-121.1866879,45.51591995,19.38168847,0,82.84780024,0,0,3.626634958,1.040428062,0,0.416171225,0,12.36623068,0.118906064
-120.5022227,45.51591995,54.51843044,0,99.85136742,0.14863258,0,0,0,0,0,0.029726516,0,0
-120.1599901,45.51591995,31.61893629,0,99.82466394,0.175336061,0,0,0,0,0,0,0,0
-119.8177575,45.51591995,24.88109394,0,99.64328181,0.297265161,0,0,0,0.059453032,0.594530321,0,0,0
-119.1332922,45.51591995,8.947681332,0,100,0,0,0,0,0,0.089179548,0,0,0
-118.7910596,45.51591995,5.350772889,0,94.67895363,0.267538644,0,1.545778835,3.151010702,0.089179548,0.237812128,0.208085612,0.267538644,0
-113.6575705,45.51591995,1.516052319,0,45.83828775,0.862068966,0,48.92984542,1.426872771,0,0,0,2.942925089,0
-113.3153379,45.51591995,0.14863258,0,54.39952438,2.913198573,0,39.12009512,1.159334126,0.029726516,0,0,2.348394768,0
-112.9731053,45.51591995,0.059453032,0,43.31153389,9.542211653,0,39.53626635,2.675386445,0.624256837,0,0.089179548,4.102259215,0
-112.6308727,45.51591995,8.858501784,0,77.28894174,12.960761,0,8.858501784,0.445897741,0.237812128,0.118906064,0.059453032,0.208085612,0
-112.28864,45.51591995,11.92033294,0,84.48275862,8.620689655,0,3.775267539,3.091557669,0,0,0.089179548,0.029726516,0
-111.9464074,45.51591995,0.267538644,0,52.37812128,7.609988109,0,26.81331748,10.3745541,0.594530321,0,0.832342449,0.98097503,0
-111.6041748,45.51591995,0.555230859,0,55.96142607,0.204558738,0,33.28462887,6.575102279,0,0.058445354,0,3.974284044,0
-108.8663139,45.51591995,11.23662307,0,99.49464923,0.237812128,0,0,0.267538644,0,0.089179548,0,0,0
-121.0142829,45.27611359,0.08766803,0,97.77907656,0,0,0.379894798,0.029222677,0,0.116890707,0,1.811805961,0
-120.3327162,45.27611359,1.315020456,0,99.94155465,0.029222677,0,0,0.029222677,0,0.08766803,0,0,0
-119.9919328,45.27611359,0.802615933,0,99.88109394,0.118906064,0,0,0,0,0.059453032,0,0,0
-119.6511495,45.27611359,0.263004091,0,92.89888954,0.058445354,0,2.162478083,2.834599649,0,0,0,2.045587376,0
-119.3103661,45.27611359,0.089179548,0,80.29131986,0.059453032,0,7.193816885,6.539833532,0,0.416171225,0.089179548,5.915576694,0
-113.8578323,45.27611359,0.029726516,0,55.11296076,6.688466112,0,35.04756243,1.367419738,0.356718193,0,0,1.307966706,0
-113.517049,45.27611359,0,0,36.11922852,6.838106371,0,49.64932788,3.389830508,0.409117475,0,0.029222677,3.506721216,0
-113.1762656,45.27611359,0.802615933,0,87.2175981,4.399524376,0,7.966706302,0.386444709,0,0,0,0.029726516,0
-112.8354823,45.27611359,3.53745541,0,80.76694411,13.94173603,0,4.934601665,0.237812128,0.059453032,0.356718193,0,0.059453032,0
-112.4946989,45.27611359,17.7764566,0,90.75505351,7.609988109,0,1.218787158,0.416171225,0,0.059453032,0,0,0
-112.1539155,45.27611359,2.824019025,0,74.97027348,2.734839477,0,12.87158145,7.699167658,0.267538644,0.326991677,0.416171225,1.456599287,0
-111.8131322,45.27611359,2.199762188,0,90.48751486,1.575505351,0,4.548156956,3.329369798,0,0.208085612,0,0.059453032,0
-109.0868653,45.27611359,10.76099881,0,99.04875149,0.951248514,0,0,0,0,0,0,0,0
-108.7460819,45.27611359,5.49940547,0,94.23305589,0.98097503,0,0.951248514,0.713436385,0,0.356718193,0.386444709,3.121284185,0
-108.4052986,45.27611359,0.059453032,0,83.7098692,0.297265161,0,5.380499405,5.083234245,0.326991677,0,0.891795482,5.202140309,0
-108.0645152,45.27611359,0.81823495,0,97.39918177,1.665692577,0,0.058445354,0.64289889,0.233781414,0,0.81823495,0,0
-120.8454399,45.03630723,0,0,99.91082045,0.089179548,0,0,0,0,0,0,0,0
-120.1667354,45.03630723,0,0,92.62782402,0,0,0.029726516,6.539833532,0,0.14863258,0,0.802615933,0
-113.7190426,45.03630723,1.46113384,0,83.69374635,4.38340152,0,5.698421975,6.195207481,0.029222677,0.058445354,0.08766803,0,0
-113.3796904,45.03630723,0.059453032,0,72.08680143,3.834720571,0,19.4411415,3.567181926,0,0,0,1.070154578,0
-113.0403381,45.03630723,0.81823495,0,87.37580362,4.120397428,0,4.529514904,0.993571011,0.905902981,0.08766803,0,0.935125658,0
-112.7009859,45.03630723,0,0,90.51724138,8.799048751,0,0.237812128,0.386444709,0,0.14863258,0.178359096,0.059453032,0
-112.3616336,45.03630723,2.55648038,0,98.3353151,0.326991677,0,0.951248514,0.356718193,0,0,0.029726516,0.029726516,0
-112.0222814,45.03630723,0.029726516,0,79.78596908,1.218787158,0,9.215219976,9.03686088,0,0,0.029726516,0.743162901,0
-111.6829291,45.03630723,0,0,60.96908442,6.331747919,0,17.36028537,12.48513674,1.189060642,0,0.089179548,0.862068966,0
-111.3435769,45.03630723,0,0,32.49108205,5.64803805,0,37.2175981,20.06539834,0.713436385,0,0,3.68608799,0
-109.6468156,45.03630723,0,0,44.88703924,23.156956,0,2.972651605,7.312722949,17.12247325,0,0.089179548,0,0
-109.3074633,45.03630723,1.694411415,0,66.26040428,21.78953627,0,4.042806183,1.516052319,3.478002378,0.059453032,0.059453032,2.437574316,0
-108.9681111,45.03630723,2.734839477,0,81.83709869,16.64684899,0,0.683709869,0.178359096,0,0,0,0.653983353,0
-108.6287588,45.03630723,0.505350773,0,59.27467301,40.33888228,0,0,0,0.386444709,0.059453032,0,0,0
-108.2894066,45.03630723,0,0,69.94649227,23.21640904,0,1.010701546,2.853745541,1.010701546,0,0.089179548,1.932223543,0
-107.9500543,45.03630723,0,0,69.47086801,0.416171225,0,11.74197384,11.56361474,0.029726516,0,0.535077289,6.718192628,0.059453032
-114.2592731,44.79650087,0.445897741,0,46.19500595,19.97621879,0,10.10701546,23.45422117,0.118906064,0,0,0.118906064,0
-113.5833951,44.79650087,0.178359096,0,77.91319857,13.16884661,0,4.102259215,4.696789536,0,0,0.059453032,0.118906064,0
-113.2454561,44.79650087,0,0,83.98597312,2.367036821,0,3.711279953,9.585037989,0,0,0.058445354,0.350672122,0
-112.9075171,44.79650087,0.118906064,0,93.13317479,2.526753864,0,1.040428062,3.299643282,0,0,0.029726516,0,0
-112.5695781,44.79650087,0,0,94.82758621,5.055523086,0,0.116890707,0,0,0,0.08766803,0,0
-112.2316391,44.79650087,0,0,97.68133175,0.059453032,0,1.634958383,0.178359096,0,0,0,0.445897741,0
-111.8937001,44.79650087,0,0,84.57193817,0.475624257,0,8.531510107,5.083234245,0,0,0,1.337693222,0
-111.555761,44.79650087,0,0,54.19143876,1.12960761,0,26.04042806,17.09274673,0,0,0.208085612,1.545778835,0
-111.217822,44.79650087,0,0,34.21521998,4.785969084,0,32.60998811,21.13555291,0.891795482,0.118906064,1.694411415,2.4078478,0
