"srd_id","latitude","longitude","elev","Barren.PLAND","Evergreen.Needleleaf.Forests.PLAND","Evergreen.Broadleaf.Forests.PLAND","Deciduous.Needleleaf.Forests.PLAND","Deciduous.Broadleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Evergreen.Deciduous.Forests.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Sparse.Shrublands.PLAND","Urban.PLAND","Forest.Cropland.Mosaics.PLAND","Natural.Herbaceous.Croplands.Mosaics.PLAND","Herbaceous.Croplands.PLAND","Woody.Wetlands.PLAND","Herbaceous.Wetlands.PLAND"
239268,51.7508853495624,-116.635835931745,2269,33.9179548156956,6.53983353151011,0,0,0,0,0,12.9013079667063,2.28894173602854,17.2413793103448,15.2794292508918,0,0,0,0,0,0,0,0,1.18906064209275
239269,51.7508853495624,-116.248478125201,2416,35.5529131985731,5.14268727705113,0,0,0,0,0,12.9013079667063,1.30796670630202,21.9381688466112,22.6218787158145,0,0,0,0,0,0,0,0,0.44589774078478
239270,51.7508853495624,-115.861120318656,2281,17.7966101694915,8.76680303915839,0,0,0,0,0,22.4722384570427,0.789012273524255,26.6218585622443,23.4950321449445,0,0,0,0,0,0,0,0,0.233781414377557
239271,51.7508853495624,-115.473762512111,1768,0.683709869203329,28.2996432818074,0,0,0,0,0,41.5576694411415,0.624256837098692,21.9381688466112,6.77764565992866,0,0.118906064209275,0,0,0,0,0,0,0.297265160523187
240768,51.5110789881683,-116.791490956194,1860,14.1200951248514,29.0725326991677,0,0,0.089179548156956,0.089179548156956,0,19.1736028537455,3.38882282996433,18.8763376932224,14.9821640903686,0,0,0,0,0,0,0,0,0.326991676575505
240769,51.5110789881683,-116.406175538076,2106,22.205707491082,21.1652794292509,0,0,0.0297265160523187,0.0594530321046373,0,13.7336504161712,1.69441141498216,18.281807372176,12.2473246135553,0,0,0,0.0594530321046373,0,0,0,0,0.743162901307967
240770,51.5110789881683,-116.020860119959,2298,21.0166468489893,9.00713436385256,0,0,0,0,0,14.8632580261593,2.97265160523187,28.5077288941736,20.6004756242568,0,0,0,0,0,0,0,0,0.386444708680143
240771,51.5110789881683,-115.635544701842,2258,12.871581450654,13.5850178359096,0,0,0,0,0,16.3495838287753,1.39714625445898,28.2699167657551,27.3483947681332,0,0.0594530321046373,0,0,0,0,0,0,0.0594530321046373
240772,51.5110789881683,-115.250229283725,1704,0.409117475160725,63.1209818819404,0,0.0584453535943892,0,0,0,23.7872589129164,0.555230859146698,7.33489187609585,4.73407364114553,0,0,0,0,0,0,0,0,0.409117475160725
242269,51.2712726267742,-116.564249937993,1962,11.9520748100526,28.3459964932788,0,0,0,0.263004091174752,0,28.6674459380479,4.79251899473992,11.0169491525424,14.0853302162478,0,0,0,0,0,0,0,0,0.496785505552309
